SquareFeet,Bedrooms,Price
3445,4,639083
1291,3,301425
1247,1,266689
1146,3,284074
2000,5,467443
2891,2,531214
3379,5,676146
564,2,192256
1982,2,374918
3277,3,618552
3419,1,582412
2935,3,572303
837,4,286480
974,2,219348
992,3,286592
2669,3,534985
1521,3,337921
2085,1,352784
689,3,220905
2015,1,410926
2863,2,542822
2306,5,496160
1738,3,356916
2562,2,453758
3404,5,679129
1715,4,404400
1775,4,406381
2800,3,480606
534,1,195566
2185,1,389960
521,5,236710
1595,1,338856
3353,5,654569
2399,5,506911
830,5,289056
2817,4,516884
966,1,210613
2455,1,449042
3234,1,556356
2764,1,449618
1863,4,400199
1652,1,303236
3112,4,596702
2568,5,537315
2561,2,454442
3113,1,545217
1797,3,392610
1629,4,371532
1275,4,283519
3068,4,581213
1315,3,302387
2028,5,432903
1890,4,430844
1100,4,258003
1867,5,438422
2639,4,503600
701,1,143733
3247,2,564537
1680,1,304895
1978,3,425868
2753,1,485889
3267,2,622427
1062,4,299331
1582,3,360843
1794,3,400415
2541,1,393560
2824,3,514570
1630,3,304524
959,3,275780
1576,2,314462
2735,1,447816
661,5,249056
1378,4,317709
1516,1,294847
1455,3,342612
3056,2,556762
2949,3,525479
1269,4,311493
879,1,178895
741,5,239271
